flock_id,date,time,datetime,Location,sanderling_count,ringed_plover_count
1,"October 2, 2025",11:33,10/2/2025 11:00:00,strand,2,0
2,"October 2, 2025",11:41,10/2/2025 11:00:00,strand,2,0
3,"October 2, 2025",11:43,10/2/2025 11:00:00,strand,6,5
4,"October 2, 2025",12:22,10/2/2025 12:00:00,strand,0,8
5,"October 2, 2025",12:30,10/2/2025 12:00:00,strand,0,3
6,"October 2, 2025",12:40,10/2/2025 12:00:00,strand,0,10
7,"October 2, 2025",13:21,10/2/2025 13:00:00,seaweed,3,11
8,"October 2, 2025",13:46,10/2/2025 13:00:00,strand,17,12
9,"October 2, 2025",14:28,10/2/2025 14:00:00,seaweed,4,12
10,"October 2, 2025",14:32,10/2/2025 14:00:00,seaweed,7,5
11,"October 2, 2025",14:36,10/2/2025 14:00:00,seaweed,2,11
12,"October 2, 2025",14:53,10/2/2025 14:00:00,strand,0,22
13,"October 2, 2025",15:03,10/2/2025 15:00:00,seaweed,1,17
14,"October 2, 2025",15:08,10/2/2025 15:00:00,strand,3,13
15,"October 2, 2025",15:27,10/2/2025 15:00:00,strand,18,7
101,"October 3, 2025",8:29,10/3/2025 8:00:00,strand,0,2
102,"October 3, 2025",8:41,10/3/2025 8:00:00,seaweed,3,30
103,"October 3, 2025",8:52,10/3/2025 8:00:00,strand,2,1
105,"October 3, 2025",9:36,10/3/2025 9:00:00,strand,2,9
106,"October 3, 2025",9:43,10/3/2025 9:00:00,seaweed,8,0
107,"October 3, 2025",9:45,10/3/2025 9:00:00,seaweed,1,0
108,"October 3, 2025",9:49,10/3/2025 9:00:00,seaweed,10,2
110,"October 3, 2025",10:25,10/3/2025 10:00:00,strand,0,3
111,"October 3, 2025",10:56,10/3/2025 10:00:00,strand,0,5
112,"October 3, 2025",10:56,10/3/2025 10:00:00,seaweed,1,2
113,"October 3, 2025",11:08,10/3/2025 11:00:00,seaweed,3,0
114,"October 3, 2025",11:07,10/3/2025 11:00:00,air,12,0
115,"October 3, 2025",11:16,10/3/2025 11:00:00,seaweed,11,0
116,"October 3, 2025",11:32,10/3/2025 11:00:00,strand,3,12
117,"October 3, 2025",11:45,10/3/2025 11:00:00,strand,0,2
118,"October 3, 2025",12:00,10/3/2025 12:00:00,upper,3,0
119,"October 3, 2025",12:00,10/3/2025 12:00:00,upper,10,0
120,"October 3, 2025",12:03,10/3/2025 12:00:00,upper,9,0
121,"October 3, 2025",12:40,10/3/2025 12:00:00,seaweed,4,1
122,"October 3, 2025",12:48,10/3/2025 12:00:00,strand,3,8
123,"October 3, 2025",13:34,10/3/2025 13:00:00,strand,0,1
124,"October 3, 2025",13:36,10/3/2025 13:00:00,seaweed,1,0
125,"October 3, 2025",13:38,10/3/2025 13:00:00,strand,9,8
126,"October 3, 2025",13:40,10/3/2025 13:00:00,strand,0,3
127,"October 3, 2025",13:45,10/3/2025 13:00:00,strand,1,2
128,"October 3, 2025",13:47,10/3/2025 13:00:00,strand,1,1
129,"October 3, 2025",13:49,10/3/2025 13:00:00,strand,2,0
130,"October 3, 2025",13:52,10/3/2025 13:00:00,seaweed,1,1
131,"October 3, 2025",14:04,10/3/2025 14:00:00,strand,0,1
132,"October 3, 2025",14:15,10/3/2025 14:00:00,strand,0,14
133,"October 3, 2025",14:31,10/3/2025 14:00:00,seaweed,3,0
134,"October 3, 2025",14:53,10/3/2025 14:00:00,air,1,0
135,"October 3, 2025",14:54,10/3/2025 14:00:00,seaweed,3,0
136,"October 3, 2025",14:56,10/3/2025 14:00:00,seaweed,1,1
137,"October 3, 2025",15:01,10/3/2025 15:00:00,strand,0,2
138,"October 3, 2025",15:13,10/3/2025 15:00:00,strand,0,1
139,"October 3, 2025",15:13,10/3/2025 15:00:00,strand,0,1
140,"October 3, 2025",15:11,10/3/2025 15:00:00,strand,2,10
141,"October 3, 2025",15:12,10/3/2025 15:00:00,seaweed,1,1
201,"October 4, 2025",9:16,10/4/2025 9:00:00,strand,1,2